NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM / L,,,,
36,DA 8311 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,ULP BINUANG ROW 1, ROW 1,DISTRIBUSI
37,DA 8310 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,ULP BINUANG ROW 2, ROW 2,DISTRIBUSI
38,DA 8293 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,KP LUMPANGI OPS,OPS ,DISTRIBUSI
39,DA 8294 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,KP PARAMASAN OPS,OPS ,DISTRIBUSI
40,DA 8296 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,KP UPAU OPS,OPS ,DISTRIBUSI
41,DA 8309 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,KP MUARA UYA OPS,OPS ,DISTRIBUSI
42,DA 8332 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BARABAI,ULP BINUANG OPS 12,OPS ,DISTRIBUSI
43,DA 1128 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP BARABAI KOTA OPS 11,OPS ,DISTRIBUSI
44,DA 1743 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP KANDANGAN OPS 11,OPS ,DISTRIBUSI
45,DA 1134 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP TANJUNG OPS 11,OPS ,DISTRIBUSI
46,DA 1772 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP PARINGIN OPS 11,OPS ,DISTRIBUSI
47,DA 1774 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP AMUNTAI OPS 11,OPS ,DISTRIBUSI
48,DA 1776 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP RANTAU OPS 11,OPS ,DISTRIBUSI
49,DA 1778 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BARABAI,ULP BINUANG OPS 11,OPS ,DISTRIBUSI
50,DA 4156 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP BARABAI KOTA OPS URC,OPS ,DISTRIBUSI
51,DA 4157 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP BARABAI KOTA ASSESMENT,ASSESMENT,DISTRIBUSI
52,DA 4159 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP KANDANGAN OPS URC,OPS ,DISTRIBUSI
53,DA 4167 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP KANDANGAN ASSESMENT,ASSESMENT,DISTRIBUSI
54,DA 4150 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP DAHA OPS,OPS ,DISTRIBUSI
55,DA 4170 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP TANJUNG OPS URC,OPS ,DISTRIBUSI
56,DA 4171 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP TANJUNG ASSEMENT,ASSESMENT,DISTRIBUSI
57,DA 4172 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP PARINGIN OPS,OPS ,DISTRIBUSI
58,DA 4173 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP PARINGIN ASSESMENT,ASSESMENT,DISTRIBUSI
59,DA 4188 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP AMUNTAI OPS URC,OPS ,DISTRIBUSI
60,DA 4176 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,KP KELUA OPS,OPS ,DISTRIBUSI
61,DA 4177 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,KP DANAU PANGGANG OPS,OPS ,DISTRIBUSI
