NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KOINSUMSI BBM / L,,,,
41,KH 2174 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
42,KH 2173 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
43,KH 8557 TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,BUNTOK,PEMELIHARAAN,DISTRIBUSI
44,KH 8571 TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,BUNTOK,PEMELIHARAAN,DISTRIBUSI
45,KH 8570 TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,TAMIANG LAYANG,PEMELIHARAAN,DISTRIBUSI
46,KH 8276 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,ROW,DISTRIBUSI
47,KH  8344 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,ROW,DISTRIBUSI
48,KH 8348 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
49,KH 8347 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
50,KH 8349 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
51,KH 8335 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
52,KH 8334 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
53,KH 8278 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
54,KH 8275 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
55,KH 8332 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,TAMIANG LAYANG,ROW,DISTRIBUSI
56,DA 8269 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
57,KH2132YW,Honda Beat,"4,2 Liter",Bensin,58 - 60,UL KAPUAS,TAMIANG LAYANG,ASSESMENT,DISTRIBUSI
58,KH2133YW,Honda Beat,"4,2 Liter",Bensin,58 - 60,UL KAPUAS,BUNTOK,ASSESMENT,DISTRIBUSI
59,KH2142YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL KAPUAS,BUNTOK,ASSESMENT,DISTRIBUSI
60,KH 2143 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL KAPUAS,TAMIANG LAYANG,KOORDINATOR,DISTRIBUSI
61,KH 2141 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
62,KH 2147 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
63,KH 2140 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
64,KH 2139 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
65,KH 2144 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,BUNTOK,OPJAR,DISTRIBUSI
66,KH 2180 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
67,KH 2148 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
68,KH 2136 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
69,KH2137 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
70,KH 2169 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,TAMIANG LAYANG,OPJAR,DISTRIBUSI
71,KH8564TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,MUARA TEWEH,PEMELIHARAAN,DISTRIBUSI
72,KH8565TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,MUARA TEWEH,PEMELIHARAAN,DISTRIBUSI
73,KH8567TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
74,KH8566TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,MUARA TEWEH,PEMELIHARAAN,DISTRIBUSI
75,KH8563TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,MUARA TEWEH,ROW,DISTRIBUSI
76,KH 8326 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
77,KH 8373 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
78,KH 8372 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
79,KH 8277 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
80,KH 8254 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
81,KH 8252 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,OPJAR MONTALAT,DISTRIBUSI
82,KH 8336 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,ROW,DISTRIBUSI
83,KH 8284 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
84,KH 8285 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
85,KH 8280 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
86,KH 8281 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
87,KH 8331 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SUKAMARA,OPJAR,DISTRIBUSI
88,KH 8363 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,PANGKALAN BUN,OPJAR,DISTRIBUSI
89,KH2157YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
90,KH 2118 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
91,KH 2138 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
92,KH 2119 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
93,KH 2145 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
94,KH 2134 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
95,KH 2120 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
96,KH 2149 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
97,KH 2182 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
98,KH 2135 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
99,KH 2122 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,MUARA TEWEH,PEMELIHARAAN,DISTRIBUSI
100,KH 2117 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
101,KH 2150 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,ASSESSMENT,DISTRIBUSI
102,KH 2168 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,K3,DISTRIBUSI
103,KH 2181 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
104,KH 2146 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
105,KH 2188 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PURUK CAHU,OPJAR,DISTRIBUSI
106,KH 8572 TD,Toyota Hilux 2.4G DC 4x4 (Double Cabin),80 Liter,Solar (Dexlite/Pertamina Dex),10 - 12,UL KAPUAS,MUARA TEWEH,OPJAR,DISTRIBUSI
107,KH 8369 TD,SUZUKI NEW CARRY PICKUP FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,,,DISTRIBUSI
108,KH 8561 TD,TOYOTA HILUX SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,ULP TAMIYANG LAYANG,HAR,DISTRIBUSI
109,KH 8251 TD,SUZUKI NEW CARRY PICKUP FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA TEWEH,ROW,DISTRIBUSI
110,KT 8449 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BUNTOK,ROW ,DISTRIBUSI
111,KT 8445 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MANGKAHUI,OP KP MANGKAHUI,DISTRIBUSI
112,KT 8446 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,BASARANG,OP KP BASARANG,DISTRIBUSI
113,KT 8516 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,AMPAH,OP KP AMPAH,DISTRIBUSI
114,KT 8375 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS KOTA,OP ULP,DISTRIBUSI
115,KT 8376 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OP ULP,DISTRIBUSI
116,KT 8274 ZL,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,MUARA UNTU,OP KP MUARA UNTU,DISTRIBUSI
117,KT 5906 AO,HONDA BEAT,"4,2 Liter",Bensin,58 - 60,UL KAPUAS,BUNTOK,K3,DISTRIBUSI
118,KT 8506 ZL,HILUX PICK UP 2.0 HIGH MT TGN1 OR-ATMHKD,55 Liter,Solar,8 - 10,UL KAPUAS,KAPUAS,OP UL ,DISTRIBUSI
119,KT 8618 ZL,HILUX PICK UP 2.0 HIGH MT TGN1 OR-ATMHKD,55 Liter,Solar,8 - 10,UL KAPUAS,BUNTOK,OP ULP,DISTRIBUSI
120,KT 8412 ZL,HILUX PICK UP 2.0 HIGH MT TGN1 OR-ATMHKD,55 Liter,Solar,8 - 10,UL KAPUAS,TABAK KANILAN,OP TABAK KANILAN,DISTRIBUSI
