NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN
,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM / L,,,
41,KT8539ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP NANGA BULIK,OPERASI
42,KT8540ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP SUKAMARA,PEMELIHARAAN
43,KT8523ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP PANGKALAN BUN,OPERASI
44,KT8621ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
45,KT8617ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP SAMPIT,OPERASI
46,KT8729ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP PANGKALAN BUN,HAR 11.3
47,KT8543ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP KUALA PEMBUANG,PEMELIHARAAN
48,KT8415ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP NANGA BULIK,PEMELIHARAAN
49,KT8614ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP SUKAMARA,OPERASI
50,KT8416ZL,TOYOTA HILUX RANGGA 2.0 HIGH,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP SAMPIT,OPERASI
51,KT8412ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
52,KT8618ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
53,KT8413ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,ULP PANGKALAN BUN,PEMELIHARAAN
54,KT8538ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
55,KT8619ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
56,KT8508ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
57,KT8613ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL PANGKALAN BUN,UL PBUN,none
58,KT2348KX,HONDA SUPRA X 125,4 Liter,Bensin,57 - 61,UL PANGKALAN BUN,ULP SAMPIT,AHLI K3
59,KT2344KX,HONDA SUPRA X 125,4 Liter,Bensin,57 - 61,UL PANGKALAN BUN,ULP KUALA PEMBUANG,AHLI K3
60,KT2355KX,HONDA SUPRA X 125,4 Liter,Bensin,57 - 61,UL PANGKALAN BUN,ULP SUKAMARA,AHLI K3
61,KT2332KX,HONDA CRF 150,"7,2 Liter",Bensin,39 - 42,UL PANGKALAN BUN,ULP SAMPIT,OPERASI R2
62,KT2333KX,HONDA CRF 150,"7,2 Liter",Bensin,39 - 42,UL PANGKALAN BUN,ULP NANGA BULIK,OPERASI R2
63,KT 8301 ZJ,CRANE,Bervariasi (100 - 300+ L),Solar,Bervariasi (Dihitung per jam kerja),UL PANGKALAN BUN,UL PANGKALAN BUN,none
64,W 8087 PW,SKYLIFT,Bervariasi (100+ L),Solar,Bervariasi (Dihitung per jam kerja),UL PANGKALAN BUN,UL PANGKALAN BUN,none
