NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM / L,JENIS BBM,KONSUMSI BBM / L,,,,
38,DA 8306 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ROW,ROW,DISTRIBUSI
39,DA 8308 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,BANJARBARU,ROW,DISTRIBUSI
40,DA 8299 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ROW ,ROW,DISTRIBUSI
41,DA 8336 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,GAMBUT,ROW,DISTRIBUSI
42,DA 8305 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,MARABAHAN,ROW,DISTRIBUSI
43,DA 8302 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,PELAIHARI,ROW,DISTRIBUSI
44,DA 1129 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,BANJARBARU,OPERASI ,DISTRIBUSI
45,DA 1132 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,A YANI,OPERASI ,DISTRIBUSI
46,DA 1126 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,BANJARBARU,OPERASI ,DISTRIBUSI
47,DA 1136 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,A YANI,OPERASI ,DISTRIBUSI
48,DA 1131 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,LAMANG,OPERASI ,DISTRIBUSI
49,DA 1127 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,LAMANG,OPERASI ,DISTRIBUSI
